alii|aliii|20.000|6,30,15,2,2024
mamadou|aliii|10.000|1,17,26,4,2024
mamadou|aliii|50.000|1,17,26,4,2024
mamadou|aliii|20.000|1,20,26,4,2024
mamadou|aliii|10.000|1,45,27,4,2024
mamadou|aliii|10.000|1,49,27,4,2024
mamadou|aliii|1000.000|15,30,28,4,2024
mamadou|aliii|20.000|12,19,29,4,2024
mamadou|aliii|20.000|12,29,29,4,2024
mamadou|aliii|200.000|12,35,29,4,2024
mamadou|aliii|20.000|12,38,29,4,2024
aliii|mamadou|200.000|12,39,29,4,2024
mamadou|aliii|20.000|12,40,29,4,2024
aliii|mamadou|20.000|12,44,29,4,2024
mamadou|aliii|20.000|12,45,29,4,2024
aliii|mamadou|20.000|13,31,29,4,2024
mamadou|aliii|100.000|13,55,29,4,2024
mamadou|aliii|1000.000|1,12,5,5,2024
aliii|mamadou|20.000|1,12,5,5,2024
mamadou|aliii|100.000|1,15,5,5,2024
mamadou|aliii|100.000|2,33,5,5,2024
mamadou|testadmin|100.000|4,42,5,5,2024
